,norm,n_train,n_val,n_supp,train_acc,val_acc,radius
33,0.1496166299302687,5,34,5,5.0,22.0,11.094954313759644
34,0.21020582157338122,15,95,12,15.0,80.0,12.744491096148261
35,0.27073603546629277,7,56,7,7.0,32.0,13.08479864698821
36,0.11206476299037439,4,32,4,4.0,14.0,12.690377525282242
37,0.0,0,14,0,0.0,0.0,0.0
38,0.30757615625303525,11,94,10,11.0,74.0,12.903638283570757
39,0.139937489963896,4,38,4,4.0,28.0,12.229568435897859
40,0.04171543046301278,3,37,3,3.0,23.0,12.045999376727968
41,0.1706536000520017,6,51,6,6.0,29.0,13.267803318817114
42,0.13551309991457652,7,106,6,7.0,93.0,13.957131673482639
43,0.18169769252590126,11,120,10,11.0,97.0,15.233596624859691
44,0.14368799740599256,7,72,7,7.0,55.0,12.442529789166485
45,0.1796830643027682,6,66,6,6.0,46.0,13.76631451060958
46,0.23345111611740912,12,118,11,12.0,96.0,15.084432884137529
47,0.21455939229408044,8,124,8,8.0,94.0,13.940942452576662
48,0.03779017525531149,2,76,2,2.0,34.0,6.510209099594864
49,0.11779060428824725,3,50,3,3.0,27.0,11.336284109962461
50,0.16158986056073454,7,72,6,7.0,56.0,11.823419821370946
51,0.039357602715401716,3,49,3,3.0,31.0,8.863399522657206
52,0.1177844221086983,3,52,3,3.0,42.0,10.054747203787734
53,0.03715647905504574,1,14,1,1.0,9.0,0.0
54,0.1324124397372514,5,58,5,5.0,36.0,12.453575512189484
55,0.181711195040245,5,27,4,5.0,25.0,12.246283260315906
56,0.08649967031455436,2,38,2,2.0,28.0,11.563755739533319
57,0.0,0,48,0,0.0,0.0,0.0
58,0.10603897275356929,3,49,3,3.0,32.0,11.692118324961127
59,0.039170613480414625,3,49,3,3.0,34.0,8.499445004719739
60,0.1496943868048764,4,63,4,4.0,51.0,12.98607542850966
61,0.09143807394221068,2,48,2,2.0,30.0,10.93714736078923
62,0.1339776165315469,4,64,4,4.0,58.0,12.940374244440582
63,0.10713672889249659,2,54,2,2.0,42.0,9.33425690638621
64,0.3079174393269073,11,50,9,11.0,43.0,10.395155631561009
65,0.19645353225431628,7,57,6,7.0,45.0,10.658496018977809
66,0.13416019711539645,2,17,2,2.0,13.0,7.45382096754956
67,0.04016149494498274,2,23,2,2.0,14.0,9.537858796071378
68,0.0,0,21,0,0.0,0.0,0.0
69,0.03942493310351094,4,17,3,4.0,10.0,9.515316807232303
70,0.0,0,24,0,0.0,0.0,0.0
71,0.11434655455544121,2,18,2,2.0,14.0,8.74607754540813
72,0.03729696113927867,1,22,1,1.0,17.0,0.0
73,0.12469659587495957,5,93,5,5.0,53.0,12.967145939822187
74,0.0,0,3,0,0.0,0.0,0.0
75,0.12352847346614265,6,26,6,6.0,20.0,13.200019232351115
76,0.16504390359129242,5,36,5,5.0,24.0,12.937292215713148
77,0.3031188354003904,16,196,13,16.0,159.0,13.625493748117384
78,0.09781073379724717,2,13,2,2.0,11.0,10.224614742034525
79,0.10771309905289488,4,36,4,4.0,19.0,12.23384506986399
80,0.20001547856089408,4,28,4,4.0,14.0,9.394454873341544
81,0.14018522046341725,5,110,5,5.0,59.0,11.239356633688487
82,0.03842604362210845,2,8,2,2.0,5.0,6.696027669714616
83,0.03734172632202076,1,32,1,1.0,30.0,0.0
84,0.04057318259543622,3,32,3,3.0,12.0,10.349939786705374
85,0.152542436890023,4,71,4,4.0,46.0,9.549244849326575
86,0.1766816104412593,5,21,5,5.0,18.0,12.2295360345484
87,0.04169491346366522,3,38,3,3.0,32.0,11.91039036378563
88,0.04005735919799402,3,12,3,3.0,9.0,9.953435974102572
89,0.2198848228996285,8,110,8,8.0,88.0,11.600463806559876
90,0.0,0,5,0,0.0,0.0,0.0
91,0.037105045479175265,1,32,1,1.0,29.0,0.0
92,0.037217675167566716,1,33,1,1.0,12.0,0.0
93,0.235453034260973,15,198,13,15.0,172.0,13.020186877892987
94,0.0,0,24,0,0.0,0.0,0.0
95,0.11566242794454003,5,40,5,5.0,25.0,12.798703619686775
96,0.0,0,14,0,0.0,0.0,0.0
97,0.11840106888046016,3,30,3,3.0,5.0,10.058676534800513
98,0.03690410063041726,1,9,1,1.0,4.0,0.0
99,0.037441667094868264,1,25,1,1.0,17.0,0.0
100,0.12909481306845938,3,32,3,3.0,27.0,9.458081908168042
101,0.03697844614773573,1,14,1,1.0,10.0,0.0
102,0.03981164970178475,2,39,2,2.0,26.0,9.429838102377726
103,0.0,0,29,0,0.0,0.0,0.0
104,0.03714277866017838,1,12,1,1.0,4.0,0.0
105,0.14211525975791994,4,46,4,4.0,33.0,12.1409011789392
106,0.037423724463496615,1,12,1,1.0,5.0,0.0
107,0.1676329938276896,7,56,7,7.0,42.0,14.357721383370016
108,0.04046925767618832,2,31,2,2.0,19.0,10.259722209739103
109,0.251348757576415,13,96,13,13.0,78.0,13.559959388539092
110,0.03994345245320673,2,57,2,2.0,53.0,9.31840547983958
111,0.16544190660090904,10,102,9,10.0,84.0,13.515235944354924
112,0.03966688584524171,4,24,4,4.0,14.0,9.459874466728307
113,0.305924210873304,7,43,7,7.0,28.0,11.339900387650557
114,0.09820324461247043,2,23,2,2.0,16.0,10.185973180732766
115,0.03733874464846876,1,34,1,1.0,32.0,0.0
116,0.037615656772002334,1,27,1,1.0,15.0,0.0
117,0.03751288465260105,1,26,1,1.0,10.0,0.0
118,0.0405700559271703,3,41,3,3.0,27.0,10.977520318766077
119,0.13897850832844771,4,29,4,4.0,22.0,12.367846656097004
120,0.0,0,14,0,0.0,0.0,0.0
121,0.04002724943299604,3,61,3,3.0,43.0,10.076624535997412
122,0.0,0,14,0,0.0,0.0,0.0
123,0.0,0,91,0,0.0,0.0,0.0
124,0.11379608203277071,4,36,4,4.0,20.0,11.404361613204653
125,0.14390239269318125,6,74,6,6.0,53.0,11.992719334435124
126,0.09768986453895122,2,34,2,2.0,10.0,10.236683896691881
127,0.24370744134012917,10,69,10,10.0,46.0,14.047505294008305
128,0.1953817496697512,8,79,6,8.0,71.0,10.073049899078887
129,0.04029075898679817,7,70,6,7.0,66.0,10.974335132319652
130,0.22692605937411298,5,69,5,5.0,55.0,10.893365752848593
